time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-12-04T22:47:26.274Z,-6.6182,129.7655,160.326,4.5,mb,26,90,2.087,0.61,us,us7000nw06,2024-12-04T23:03:57.040Z,"Banda Sea",earthquake,10.83,7.91,0.108,25,reviewed,us,us
2024-12-04T16:53:01.709Z,24.8553,128.0662,10,4.9,mb,76,103,1.981,0.6,us,us7000nvxl,2024-12-04T18:18:12.040Z,"146 km SSE of Itoman, Japan",earthquake,7.8,1.867,0.057,99,reviewed,us,us
2024-12-04T11:46:46.713Z,-56.0349,-27.6072,92.79,4.9,mb,23,67,5.385,0.78,us,us7000nvw6,2024-12-04T12:07:32.040Z,"South Sandwich Islands region",earthquake,11.83,8.587,0.119,22,reviewed,us,us
2024-12-04T10:11:44.788Z,36.078,139.8723,73.503,4.8,mb,42,125,1.421,0.57,us,us7000nvuq,2024-12-04T12:24:11.765Z,"3 km NW of Iwai, Japan",earthquake,6.76,7.264,0.125,20,reviewed,us,us
2024-12-04T09:09:09.980Z,35.9112,31.6536,46.593,4.6,mb,55,76,1.638,0.88,us,us7000nvuc,2024-12-06T10:15:45.420Z,"71 km SW of Gazipaşa, Turkey",earthquake,5.99,11.74,0.094,34,reviewed,us,us
2024-12-04T07:42:53.546Z,-15.7357,-174.3183,180.994,4.9,mb,52,53,3.052,0.66,us,us7000nvu1,2024-12-04T08:06:33.040Z,"60 km WNW of Hihifo, Tonga",earthquake,9.34,7.496,0.064,80,reviewed,us,us
2024-12-04T07:11:51.277Z,-43.514,-81.6193,10,5.3,mww,57,50,6.041,0.92,us,us7000nvts,2024-12-05T07:15:16.901Z,"West Chile Rise",earthquake,11.49,1.898,0.066,22,reviewed,us,us
2024-12-04T01:56:57.937Z,18.3418,80.4451,10,5,mb,63,52,9.886,0.79,us,us7000nvs3,2024-12-06T10:49:51.150Z,"55 km ENE of Mulugu, India",earthquake,10.44,1.894,0.064,77,reviewed,us,us
2024-12-04T00:09:30.597Z,23.7065,123.3442,10,5.1,mb,40,93,0.816,0.87,us,us7000nvrp,2024-12-04T03:44:30.040Z,"91 km SSE of Yonakuni, Japan",earthquake,3.66,1.902,0.11,27,reviewed,us,us
2024-12-03T22:31:05.213Z,34.6303,140.5737,73.988,4.7,mb,23,129,1.638,0.52,us,us7000nvr1,2024-12-03T23:13:59.040Z,"61 km SSE of Katsuura, Japan",earthquake,7.43,8.98,0.152,13,reviewed,us,us
2024-12-03T20:27:38.221Z,18.1235,145.4145,290.987,4.9,mb,109,79,2.889,0.85,us,us7000nvqb,2024-12-03T20:47:12.040Z,"Pagan region, Northern Mariana Islands",earthquake,9.92,7.223,0.032,301,reviewed,us,us
2024-12-03T18:54:45.377Z,18.5018,120.8973,69.997,5.7,mww,152,20,4.297,0.84,us,us7000nvpy,2024-12-04T18:58:34.401Z,"13 km ESE of Pagudpud, Philippines",earthquake,8.37,6.057,0.043,51,reviewed,us,us
2024-12-03T18:27:00.956Z,8.4949,126.8693,35,4.9,mb,57,111,1.908,0.78,us,us7000nvpv,2024-12-03T19:59:54.040Z,"60 km ENE of Hinatuan, Philippines",earthquake,6.53,1.873,0.085,43,reviewed,us,us
2024-12-03T17:34:47.823Z,18.8809,145.523,235.884,4.6,mb,80,65,3.629,1.01,us,us7000nvpq,2024-12-03T18:13:06.040Z,"Pagan region, Northern Mariana Islands",earthquake,10.74,6.563,0.067,66,reviewed,us,us
2024-12-03T16:57:06.894Z,53.9143,160.4887,58.956,5,mww,198,81,1.416,0.64,us,us7000nvpl,2024-12-04T17:35:58.040Z,"149 km SE of Mil’kovo, Russia",earthquake,8.69,5.573,0.086,13,reviewed,us,us
2024-12-03T16:09:11.435Z,4.8701,126.3962,11.691,5.2,mww,230,26,2.331,0.55,us,us7000nvnb,2024-12-04T17:20:00.040Z,"119 km ESE of Sarangani, Philippines",earthquake,5.88,2.966,0.068,21,reviewed,us,us
